pitcher_id,pitcher_avg_exit_velocity_allowed,pitcher_max_exit_velocity_allowed,pitcher_batted_balls_allowed,pitcher_name
669467,78.025,105.2,8,andre pallante
669622,82.74285714285715,101.4,14,anthony bender
669711,86.20625,110.4,16,greg weissert
669796,93.42500000000001,103.9,4,jose hernandez
669854,79.4857142857143,103.3,63,ronel blanco
669923,81.90263157894738,103.6,38,george kirby
669952,84.84074074074073,116.7,27,mitch white
670102,81.95200000000001,110.6,50,bowden francis
670167,84.52272727272727,105.4,22,john schreiber
670174,77.27499999999999,105.9,12,josh winckowski
670280,83.91764705882352,109.6,17,david bednar
670871,88.04375,105.3,16,guillo zuñiga
670950,73.40833333333333,94.9,12,trevor richards
670990,75.23846153846154,101.9,13,yohan ramírez
671096,78.40746268656717,106.8,67,andrew abbott
671106,81.81666666666666,106.6,30,logan allen
671212,84.04418604651163,107.6,43,joe boyle
671345,80.75714285714285,109.5,14,jason foley
671922,86.28181818181818,106.9,11,cade smith
672282,77.26071428571429,113.1,28,reid detmers
672582,85.2909090909091,99.8,11,angel zerpa
672710,82.625,108.9,24,roansy contreras
673513,83.47333333333333,104.9,15,yuki matsui
673929,83.85000000000001,99.9,14,jordan leasure
674003,81.99268292682926,109.5,41,cody bradford
674072,81.17692307692307,107.5,39,tommy henry
675627,83.26923076923077,108.6,26,michael grove
675911,82.16875,108.3,32,spencer strider
675989,80.47777777777777,94.2,9,cody bolton
676092,84.08571428571429,104.1,7,collin snider
676106,83.53148148148148,105.3,54,emerson hancock
676130,80.17916666666666,103.4,24,josé buttó
676254,70.42999999999999,82.0,10,ryan walker
676272,85.23888888888888,106.7,18,bobby miller
676395,73.03846153846153,109.1,13,robert garcia
676440,82.55862068965517,109.1,29,tanner bibee
