pitcher,avg_exit_velocity_allowed,max_exit_velocity_allowed,avg_launch_angle_allowed,batted_balls_allowed
657508,81.19,102.9,12.3,10
674072,81.17692307692307,107.5,24.512820512820515,39
572143,81.09545454545454,105.3,13.636363636363637,22
656945,81.0875,102.0,17.125,16
640455,81.04814814814816,110.0,21.62962962962963,54
683003,81.02857142857142,107.6,21.571428571428573,35
676684,81.0,103.7,19.5,10
657571,80.93684210526315,104.9,19.57894736842105,19
542881,80.92941176470588,106.6,22.058823529411764,34
572020,80.91818181818182,102.9,16.727272727272727,22
681217,80.90714285714286,110.6,20.5,42
683769,80.89090909090909,110.5,7.545454545454546,11
607192,80.86764705882354,106.5,5.323529411764706,34
519293,80.85000000000001,110.5,13.083333333333334,12
669373,80.82413793103449,102.8,18.517241379310345,29
681911,80.80000000000001,99.9,16.88888888888889,9
608379,80.8,107.2,14.425531914893616,47
605280,80.8,102.8,-14.272727272727273,11
679525,80.77460317460317,112.6,24.92063492063492,63
663554,80.771875,113.6,17.46875,32
663878,80.77058823529411,105.1,16.176470588235293,17
671345,80.75714285714285,109.5,16.857142857142858,14
650960,80.67999999999999,106.2,22.7,10
607179,80.60588235294118,97.2,25.176470588235293,17
605400,80.59705882352942,102.0,19.294117647058822,34
665871,80.596875,109.4,18.6875,32
641656,80.49285714285715,103.7,19.714285714285715,14
680686,80.48055555555555,104.9,18.5,36
675989,80.47777777777777,94.2,29.88888888888889,9
608717,80.38333333333334,107.5,2.4166666666666665,12
621107,80.35000000000001,104.1,18.205882352941178,34
605397,80.34736842105262,109.3,16.263157894736842,19
664854,80.3,101.6,13.470588235294118,17
687765,80.3,89.7,-11.5,4
676130,80.17916666666666,103.4,11.333333333333334,24
455119,80.15555555555555,98.9,23.72222222222222,18
663776,80.13030303030304,103.8,8.969696969696969,33
596295,80.10689655172413,107.0,26.344827586206897,29
663372,80.10000000000001,109.8,13.863636363636363,22
596001,80.07333333333332,105.4,16.666666666666668,15
640470,80.0625,101.6,11.875,16
621381,80.06153846153846,106.2,17.307692307692307,13
669022,80.05178571428571,111.5,24.982142857142858,56
656641,79.97058823529412,101.5,42.94117647058823,17
572955,79.91176470588235,102.3,14.941176470588236,17
669084,79.85161290322581,104.0,11.741935483870968,31
664776,79.83888888888889,108.1,33.388888888888886,18
622098,79.82727272727273,108.9,23.363636363636363,11
663485,79.82000000000001,93.0,11.2,5
666808,79.80714285714285,104.8,9.071428571428571,14
